0; 3.2923e-09 ; 13
0.2; 5.6974e-09 ; 11
0.4; 5.46733e-09 ; 12
0.6; 5.98793e-09 ; 13
0.8; 6.44642e-09 ; 10
1; 1.50611e-08 ; 12
1.2; 3.68088e-09 ; 12
1.4; 3.14374e-09 ; 7
1.6; 5.817e-09 ; 14
1.8; 3.88092e-09 ; 12
2; 2.36795e-09 ; 6
2.2; 1.66012e-09 ; 11
2.4; 2.98702e-09 ; 8
2.6; 3.40964e-09 ; 8
2.8; 1.94062e-09 ; 7
3; 9.72752e-10 ; 5
3.2; 2.70801e-09 ; 6
3.4; 1.15021e-09 ; 2
3.6; 3.89959e-09 ; 3
3.8; 1.14527e-09 ; 3
4; 3.40891e-09 ; 7
4.2; 3.12339e-09 ; 6
4.4; 1.25747e-09 ; 4
4.6; 7.32565e-10 ; 2
4.8; 1.78251e-09 ; 3
5; 2.23753e-10 ; 3
5.2; 0 ; 0
5.4; 6.64127e-13 ; 1
5.6; 2.365e-09 ; 3
5.8; 0 ; 0
6; 0 ; 0
6.2; 3.60116e-09 ; 2
6.4; 0 ; 0
6.6; 0 ; 0
6.8; 4.97133e-09 ; 1
7; 0 ; 0
7.2; 0 ; 0
7.4; 4.44301e-10 ; 2
7.6; 0 ; 0
7.8; 0 ; 0
8; 0 ; 0
8.2; 0 ; 0
8.4; 0 ; 0
8.6; 0 ; 0
8.8; 7.43586e-10 ; 1
9; 0 ; 0
9.2; 0 ; 0
9.4; 6.59553e-09 ; 1
9.6; 0 ; 0
9.8; 0 ; 0
10; 0 ; 0
10.2; 0 ; 0
10.4; 0 ; 0
10.6; 0 ; 0
10.8; 0 ; 0
11; 0 ; 0
11.2; 0 ; 0
11.4; 0 ; 0
11.6; 0 ; 0
11.8; 0 ; 0
12; 0 ; 0
12.2; 0 ; 0
12.4; 0 ; 0
12.6; 0 ; 0
12.8; 0 ; 0
13; 0 ; 0
13.2; 0 ; 0
13.4; 0 ; 0
13.6; 0 ; 0
13.8; 0 ; 0
14; 0 ; 0
14.2; 0 ; 0
14.4; 0 ; 0
14.6; 0 ; 0
14.8; 0 ; 0
15; 0 ; 0
15.2; 0 ; 0
15.4; 0 ; 0
15.6; 0 ; 0
15.8; 0 ; 0
16; 0 ; 0
16.2; 0 ; 0
16.4; 0 ; 0
16.6; 0 ; 0
16.8; 0 ; 0
17; 0 ; 0
17.2; 0 ; 0
17.4; 0 ; 0
17.6; 0 ; 0
17.8; 0 ; 0
18; 0 ; 0
18.2; 0 ; 0
18.4; 0 ; 0
18.6; 0 ; 0
18.8; 0 ; 0
19; 0 ; 0
19.2; 0 ; 0
19.4; 0 ; 0
19.6; 0 ; 0
19.8; 0 ; 0
20; 0 ; 0
20.2; 0 ; 0
20.4; 0 ; 0
20.6; 0 ; 0
20.8; 0 ; 0
21; 0 ; 0
21.2; 0 ; 0
21.4; 0 ; 0
21.6; 0 ; 0
21.8; 0 ; 0
22; 0 ; 0
22.2; 0 ; 0
22.4; 0 ; 0
22.6; 0 ; 0
22.8; 0 ; 0
23; 0 ; 0
23.2; 0 ; 0
23.4; 0 ; 0
23.6; 0 ; 0
23.8; 0 ; 0
24; 0 ; 0
24.2; 0 ; 0
24.4; 0 ; 0
24.6; 0 ; 0
24.8; 0 ; 0
25; 0 ; 0
25.2; 0 ; 0
25.4; 0 ; 0
25.6; 0 ; 0
25.8; 0 ; 0
26; 0 ; 0
26.2; 0 ; 0
26.4; 0 ; 0
26.6; 0 ; 0
26.8; 0 ; 0
27; 0 ; 0
27.2; 0 ; 0
27.4; 0 ; 0
27.6; 0 ; 0
27.8; 0 ; 0
28; 0 ; 0
28.2; 0 ; 0
28.4; 0 ; 0
28.6; 0 ; 0
28.8; 0 ; 0
29; 0 ; 0
29.2; 0 ; 0
29.4; 0 ; 0
29.6; 0 ; 0
29.8; 0 ; 0
30; 0 ; 0
30.2; 0 ; 0
30.4; 0 ; 0
30.6; 0 ; 0
30.8; 0 ; 0
31; 0 ; 0
31.2; 0 ; 0
31.4; 0 ; 0
31.6; 0 ; 0
31.8; 0 ; 0
32; 0 ; 0
32.2; 0 ; 0
32.4; 0 ; 0
32.6; 0 ; 0
32.8; 0 ; 0
33; 0 ; 0
33.2; 0 ; 0
33.4; 0 ; 0
33.6; 0 ; 0
33.8; 0 ; 0
34; 0 ; 0
34.2; 0 ; 0
34.4; 0 ; 0
34.6; 0 ; 0
34.8; 0 ; 0
35; 0 ; 0
35.2; 0 ; 0
35.4; 0 ; 0
35.6; 0 ; 0
35.8; 0 ; 0
36; 0 ; 0
36.2; 0 ; 0
36.4; 0 ; 0
36.6; 0 ; 0
36.8; 0 ; 0
37; 0 ; 0
37.2; 0 ; 0
37.4; 0 ; 0
37.6; 0 ; 0
37.8; 0 ; 0
38; 0 ; 0
38.2; 0 ; 0
38.4; 0 ; 0
38.6; 0 ; 0
38.8; 0 ; 0
39; 0 ; 0
39.2; 0 ; 0
39.4; 0 ; 0
39.6; 0 ; 0
39.8; 0 ; 0
40; 0 ; 0
